system_size,hilbert_space_size,U,optimized_overlap,baseline_overlap,overlap_ratio
"$3\times3,\;(3,3)$",792,5.5,0.9996669542966312,0.15041692415693497,6.645973914834514
"$3\times3,\;(3,3)$",792,5.75,0.9996463067800867,0.14920495290086566,6.699819860834438
"$3\times3,\;(3,3)$",792,6.0,0.999635978725763,0.14799095356127867,6.75471003240643
"$3\times3,\;(3,3)$",792,6.25,0.9996201087464734,0.14677844414703545,6.810401313050457
"$3\times3,\;(3,3)$",792,6.5,0.9995906977750803,0.1455705891995943,6.866707782603837
"$3\times3,\;(3,3)$",792,6.75,0.9995596004797279,0.1443702119868594,6.923586152042971
"$3\times3,\;(3,3)$",792,7.0,0.9995242640181822,0.1431798045160828,6.980902560918846
"$3\times3,\;(3,3)$",792,7.25,0.9994878681994475,0.14200154933120324,7.038570162838507
"$3\times3,\;(3,3)$",792,7.5,0.999452262587804,0.14083733596948556,7.096500765992547
"$3\times3,\;(3,3)$",792,7.75,0.9994134674385435,0.13968878202180268,7.154572135094962
"$3\times3,\;(3,3)$",792,8.0,0.999373185064093,0.13855725816948106,7.212709014793548
"$3\times3,\;(3,3)$",792,8.25,0.9993321858822732,0.13744390224858183,7.2708368253025535
"$3\times3,\;(3,3)$",792,8.5,0.9992906184147716,0.1363496496515011,7.328882919529895
"$3\times3,\;(3,3)$",792,8.75,0.9992487268613673,0.13527524325482054,7.386781962602452
"$3\times3,\;(3,3)$",792,9.0,0.9992151239980575,0.13422126258007294,7.444536765566123
"$3\times3,\;(3,3)$",792,9.25,0.9991830618170999,0.1331881334616426,7.502042680888375
"$3\times3,\;(3,3)$",792,9.5,0.9991433178672197,0.13217615152943074,7.559179975403864
"$3\times3,\;(3,3)$",792,9.75,0.9991039528781381,0.1311854929604308,7.615963704001141
"$3\times3,\;(3,3)$",792,10.0,0.9990693607332478,0.13021623407225236,7.672387147818296
"$3\times3,\;(3,3)$",792,10.25,0.9990295514827218,0.1292683586248159,7.7283378710042365
"$3\times3,\;(3,3)$",792,10.5,0.9989886897426978,0.12834177717029327,7.783815307599851
"$3\times3,\;(3,3)$",792,10.75,0.9989477702447327,0.12743632992110976,7.838798958375037
"$3\times3,\;(3,3)$",792,11.0,0.9989068533046727,0.12655180375884278,7.893264446931079
"$3\times3,\;(3,3)$",792,11.25,0.9988659725286344,0.12568793545699974,7.947190546942874
"$3\times3,\;(3,3)$",792,11.5,0.9988251593824218,0.12484442201252421,8.000558961955234
"$3\times3,\;(3,3)$",792,11.75,0.9987844441913587,0.12402092852971935,8.05335402687312
"$3\times3,\;(3,3)$",792,12.0,0.9987438561764825,0.12321709129786296,8.105562675247183
"$3\times3,\;(3,3)$",792,12.25,0.9987034229533769,0.12243252699846385,8.157173975228883
"$3\times3,\;(3,3)$",792,12.5,0.9986631705398653,0.1216668335876141,8.208179181557421
"$3\times3,\;(3,3)$",792,12.75,0.9986231232476094,0.12091959748384096,8.258571348462022
"$3\times3,\;(3,3)$",792,13.0,0.9985833036720498,0.1201903960662799,8.308345228527024
"$3\times3,\;(3,3)$",792,13.25,0.9985437327430475,0.11947880041423586,8.35749713991999
"$3\times3,\;(3,3)$",792,13.5,0.998504429565007,0.11878437647711881,8.406024926664887
"$3\times3,\;(3,3)$",792,13.75,0.9984654118068346,0.11810669219487135,8.453927489218023
"$3\times3,\;(3,3)$",792,14.0,0.9984266956375256,0.11744531565222771,8.501204923268366
"$3\times3,\;(3,3)$",792,14.25,0.9983882958517395,0.11679981673415518,8.547858410806786
"$3\times3,\;(3,3)$",792,14.5,0.9983502263915084,0.11616976946518609,8.59389005407896
"$3\times3,\;(3,3)$",792,14.75,0.9983125008452165,0.11555475464631926,8.639302674310299
"$3\times3,\;(3,3)$",792,15.0,0.9982751388355336,0.11495435820809685,8.684099971472154
"$3\times3,\;(4,3)$",1176,0.5,0.9999960403362932,0.3330060530381369,3.0029365268677877
"$3\times3,\;(4,3)$",1176,0.75,0.9999933822757273,0.3320177573936114,3.0118671667618733
"$3\times3,\;(4,3)$",1176,1.0,0.9999829257589595,0.3303680226085808,3.0268756578288354
"$3\times3,\;(4,3)$",1176,1.25,0.9999665538867111,0.32806906956212956,3.048036668684909
"$3\times3,\;(4,3)$",1176,1.5,0.999945040610038,0.32514559236955276,3.0753762747413296
"$3\times3,\;(4,3)$",1176,1.75,0.9999107973911009,0.3216339254742171,3.1088474137696522
"$3\times3,\;(4,3)$",1176,2.0,0.9998743380850508,0.3175806068256879,3.1484111957562226
"$3\times3,\;(4,3)$",1176,2.25,0.9998217849120216,0.3130404543021055,3.1939059989579657
"$3\times3,\;(4,3)$",1176,2.5,0.9997339822040898,0.3080743265827397,3.245106443284201
"$3\times3,\;(4,3)$",1176,2.75,0.9996187442396055,0.30274674572809057,3.301831508826208
"$3\times3,\;(4,3)$",1176,3.0,0.999472330414784,0.29712356845557775,3.3638271632572048
"$3\times3,\;(4,3)$",1176,3.25,0.9992914005278488,0.2912698570272225,3.4308095273808354
"$3\times3,\;(4,3)$",1176,3.5,0.9990735713492258,0.2852480674928519,3.5024727078098845
"$3\times3,\;(4,3)$",1176,3.75,0.998819124545897,0.2791166097203477,3.578501206168394
"$3\times3,\;(4,3)$",1176,4.0,0.9985475743325704,0.272928825463121,3.6586372752609715
"$3\times3,\;(4,3)$",1176,4.25,0.9982350844722426,0.2667323366930152,3.742459938860435
"$3\times3,\;(4,3)$",1176,4.5,0.9978919969882358,0.2605687326840227,3.8296689963884667
"$3\times3,\;(4,3)$",1176,4.75,0.997519838672888,0.25447357006607874,3.9199349402527877
"$3\times3,\;(4,3)$",1176,5.0,0.9971200591863368,0.24847655612427433,4.01293415660362
"$3\times3,\;(4,3)$",1176,5.25,0.9966961892009352,0.24260193028342314,4.108360506598323
"$3\times3,\;(4,3)$",1176,5.5,0.9966931822744008,0.23686892895576672,4.207783547923776
"$3\times3,\;(4,3)$",1176,5.75,0.9962576921793448,0.23129226888786691,4.307354054546206
"$3\times3,\;(4,3)$",1176,6.0,0.9958003884327313,0.22588275540369307,4.408483448207709
"$3\times3,\;(4,3)$",1176,6.25,0.9953234092835538,0.22064778498569293,4.510915028438159
"$3\times3,\;(4,3)$",1176,6.5,0.994829026958423,0.21559185548756776,4.614409132982254
"$3\times3,\;(4,3)$",1176,6.75,0.994319599008667,0.21071704029585403,4.718743190453927
"$3\times3,\;(4,3)$",1176,7.0,0.9937974931120701,0.20602342301633136,4.82371120022257
"$3\times3,\;(4,3)$",1176,7.25,0.9932650158203459,0.20150946558719418,4.929123368602032
"$3\times3,\;(4,3)$",1176,7.5,0.99272435763246,0.19717233878563323,5.034805408033198
"$3\times3,\;(4,3)$",1176,7.75,0.9921775562900919,0.1930082133449551,5.140597589579343
"$3\times3,\;(4,3)$",1176,8.0,0.9916264864359174,0.1890124893894074,5.246354299862949
"$3\times3,\;(4,3)$",1176,8.25,0.9910728751674233,0.1851800064866621,5.351943192845751
"$3\times3,\;(4,3)$",1176,8.5,0.9905183518570367,0.18150521187181723,5.457244679874876
"$3\times3,\;(4,3)$",1176,8.75,0.9902195797711155,0.17798229582560277,5.563584710365739
